DATE,A261RX1Q020SBEA,AMDMTI,AMDMVS,AMTMUO,BOPTEXP,BOPTIMP,BUSINV,CPIAUCSL,CPILFESL,DGORDER,DSPIC96,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,GDPC1,HOUST,HSN1F,I42IMSM144SCEN,INDPRO,IQ,IR,JTSJOL,NPPTTL,PAYEMS,PCEC96,PCEPI,PCEPILFE,PERMIT,PPIFIS,RSAFS,TCU,TTLCONS,ULCNFB,UMCSENT,UNRATE
1935-12-01,,,,,,,,,,,,,,,,,,1.22858,,,,,,,,,,,,,,,,
1936-01-01,,,,,,,,,,,,,,,,,,-1.61873,,,,,,,,,,,,,,,,
1936-02-01,,,,,,,,,,,,,,,,,,-2.46881,,,,,,,,,,,,,,,,
1936-03-01,,,,,,,,,,,,,,,,,,1.26487,,,,,,,,,,,,,,,,
1936-04-01,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,
1936-05-01,,,,,,,,,,,,,,,,,,1.9603,,,,,,,,,,,,,,,,
1936-06-01,,,,,,,,,,,,,,,,,,1.92404,,,,,,,,,,,,,,,,
1936-07-01,,,,,,,,,,,,,,,,,,1.88632,,,,,,,,,,,,,,,,
1936-08-01,,,,,,,,,,,,,,,,,,1.48222,,,,,,,,,,,,,,,,
1936-09-01,,,,,,,,,,,,,,,,,,1.82435,,,,,,,,,,,,,,,,
1936-10-01,,,,,,,,,,,,,,,,,,1.43307,,,,,,,,,,,,,,,,
1936-11-01,,,,,,,,,,,,,,,,,,2.82695,,,,,,,,,,,,,,,,
1936-12-01,,,,,,,,,,,,,,,,,,3.09305,,,,,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,,,,,,,-0.3335,,,,,,,,,,,,,,,,
1937-02-01,,,,,,,,,,,,,,,,,,1.33846,,,,,,,,,,,,,,,,
1937-03-01,,,,,,,,,,,,,,,,,,2.31014,,,,,,,,,,,,,,,,
1937-04-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1937-05-01,,,,,,,,,,,,,,,,,,0.32274,,,,,,,,,,,,,,,,
1937-06-01,,,,,,,,,,,,,,,,,,-1.2868,,,,,,,,,,,,,,,,
1937-07-01,,,,,,,,,,,,,,,,,,0.65179,,,,,,,,,,,,,,,,
1937-08-01,,,,,,,,,,,,,,,,,,-0.64757,,,,,,,,,,,,,,,,
1937-09-01,,,,,,,,,,,,,,,,,,-3.25652,,,,,,,,,,,,,,,,
1937-10-01,,,,,,,,,,,,,,,,,,-7.40852,,,,,,,,,,,,,,,,
1937-11-01,,,,,,,,,,,,,,,,,,-9.81769,,,,,,,,,,,,,,,,
1937-12-01,,,,,,,,,,,,,,,,,,-8.87086,,,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,-2.21184,,,,,,,,,,,,,,,,
1938-02-01,,,,,,,,,,,,,,,,,,-0.90542,,,,,,,,,,,,,,,,
1938-03-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1938-04-01,,,,,,,,,,,,,,,,,,-1.82738,,,,,,,,,,,,,,,,
1938-05-01,,,,,,,,,,,,,,,,,,-2.32502,,,,,,,,,,,,,,,,
1938-06-01,,,,,,,,,,,,,,,,,,0.95285,,,,,,,,,,,,,,,,
1938-07-01,,,,,,,,,,,,,,,,,,5.65965,,,,,,,,,,,,,,,,
1938-08-01,,,,,,,,,,,,,,,,,,5.35815,,,,,,,,,,,,,,,,
1938-09-01,,,,,,,,,,,,,,,,,,2.96597,,,,,,,,,,,,,,,,
1938-10-01,,,,,,,,,,,,,,,,,,2.46881,,,,,,,,,,,,,,,,
1938-11-01,,,,,,,,,,,,,,,,,,4.01655,,,,,,,,,,,,,,,,
1938-12-01,,,,,,,,,,,,,,,,,,1.15743,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1939-02-01,,,,,,,,,,,,,,,,,,0.76374,,,,,177.0,,,,,,,,,,,
1939-03-01,,,,,,,,,,,,,,,,,,0.37897,,,,,180.0,,,,,,,,,,,
1939-04-01,,,,,,,,,,,,,,,,,,-0.37754,,,,,-186.0,,,,,,,,,,,
1939-05-01,,,,,,,,,,,,,,,,,,-0.37897,,,,,205.0,,,,,,,,,,,
1939-06-01,,,,,,,,,,,,,,,,,,2.28108,,,,,203.0,,,,,,,,,,,
1939-07-01,,,,,,,,,,,,,,,,,,2.97408,,,,,-83.0,,,,,,,,,,,
1939-08-01,,,,,,,,,,,,,,,,,,1.44476,,,,,244.0,,,,,,,,,,,
1939-09-01,,,,,,,,,,,,,,,,,,6.04881,,,,,368.0,,,,,,,,,,,
1939-10-01,,,,,,,,,,,,,,,,,,5.03357,,,,,380.0,,,,,,,,,,,
1939-11-01,,,,,,,,,,,,,,,,,,2.556,,,,,59.0,,,,,,,,,,,
1939-12-01,,,,,,,,,,,,,,,,,,0.0,,,,,72.0,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,-1.24557,,,,,61.0,,,,,,,,,,,
1940-02-01,,,,,,,,,,,,,,,,,,-3.15496,,,,,112.0,,,,,,,,,,,
1940-03-01,,,,,,,,,,,,,,,,,,-2.28005,,,,,110.0,,,,,,,,,,,
1940-04-01,,,,,,,,,,,,,,,,,,1.99975,,,,,-124.0,,,,,,,,,,,
1940-05-01,,,,,,,,,,,,,,,,,,2.94143,,,,,178.0,,,,,,,,,,,
1940-06-01,,,,,,,,,,,,,,,,,,3.175,,,,,98.0,,,,,,,,,,,
1940-07-01,,,,,,,,,,,,,,,,,,1.23023,,,,,-35.0,,,,,,,,,,,
1940-08-01,,,,,,,,,,,,,,,,,,0.60821,,,,,410.0,,,,,,,,,,,
1940-09-01,,,,,,,,,,,,,,,,,,2.11473,,,,,458.0,,,,,,,,,,,
1940-10-01,,,,,,,,,,,,,,,,,,1.47892,,,,,457.0,,,,,,,,,,,
1940-11-01,,,,,,,,,,,,,,,,,,2.33244,,,,,402.0,,,,,,,,,,,
1940-12-01,,,,,,,,,,,,,,,,,,3.41945,,,,,505.0,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,2.47953,,,,,307.0,,,,,,,,,,,
1941-02-01,,,,,,,,,,,,,,,,,,2.95644,,,,,362.0,,,,,,,,,,,
1941-03-01,,,,,,,,,,,,,,,,,,3.13374,,,,,249.0,,,,,,,,,,,
1941-04-01,,,,,,,,,,,,,,,,,,0.25235,,,,,376.0,,,,,,,,,,,
1941-05-01,,,,,,,,,,,,,,,,,,4.54584,,,,,714.0,,,,,,,,,,,
1941-06-01,,,,,,,,,,,,,,,,,,0.725,,,,,468.0,,,,,,,,,,,
1941-07-01,,,,,,,,,,,,,,,,,,1.19874,,,,,487.0,,,,,,,,,,,
1941-08-01,,,,,,,,,,,,,,,,,,1.18454,,,,,407.0,,,,,,,,,,,
1941-09-01,,,,,,,,,,,,,,,,,,0.0,,,,,291.0,,,,,,,,,,,
1941-10-01,,,,,,,,,,,,,,,,,,0.93723,,,,,114.0,,,,,,,,,,,
1941-11-01,,,,,,,,,,,,,,,,,,0.46427,,,,,75.0,,,,,,,,,,,
1941-12-01,,,,,,,,,,,,,,,,,,1.61656,,,,,80.0,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,2.04477,,,,,243.0,,,,,,,,,,,
1942-02-01,,,,,,,,,,,,,,,,,,1.78179,,,,,165.0,,,,,,,,,,,
1942-03-01,,,,,,,,,,,,,,,,,,1.09464,,,,,423.0,,,,,,,,,,,
1942-04-01,,,,,,,,,,,,,,,,,,-2.81443,,,,,417.0,,,,,,,,,,,
1942-05-01,,,,,,,,,,,,,,,,,,0.22283,,,,,419.0,,,,,,,,,,,
1942-06-01,,,,,,,,,,,,,,,,,,0.22233,,,,,258.0,,,,,,,,,,,
1942-07-01,,,,,,,,,,,,,,,,,,2.43941,,,,,443.0,,,,,,,,,,,
